Tour,Id_phrase,phrase
43,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s251,"M. SIROTA regrette que l' enveloppe budgétaire des U.E.R soit si faible et il tient à redire que , non seuement les droits universitaires n' augmentent pas , mais ils diminuent , si l'on tenait compte du coût de la vie , les droits de 95 F en 1975 seraient de 432 F en 1984 ."
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s252,Mme ULLMO demande si la ville de Versailles verse quelque chose à Paris X pour l' Université d' été ?
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s253,"Après un rapide calcul elle est persuadée que le balayage des locaux fait par du personnel de service , attribué à l' Université , reviendrait moins cher qu' actuellement ."
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s254,Elle demande s' il ne serait pas possible de poser le problème en ces termes ;
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s255,"cela permettrait une économie et grâce à une gestion locale des personnels , le budget serait en équilibre ."
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s256,Elle ajoute qu' elle partage l' opinion de M. SIROTA .
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s257,"l' U.E.R d' Anglais n' arrive pas à vivre avec une "" notion "" de budget , en effet pour cette année l' U.E.R ne peut disposer que de 4 500 F pour l' achat de livres et de 5 000 F pour le matériel de Labo ;"
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s258,pour une U.E.R. de langue de plus de 2 000 étudiants ces sommes sont absolument dérisoires et cela revient à dire que les dépenses d' une U.E.R sont moindre que celles du nettoyage .
44,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s259,Il n' est pas normal que les problèmes matériels fassent oublier la politique culturelle de l' Université .
45,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s260,M .
45,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s261,Le Président intervient pour redire ce qu' il a déjà dit à la commission budgétaire au sujet de la B.U. et l' esprit suivant lequel la proposition a été faite .
45,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s262,"Ele a seulement été émise pour le cas où aucune solution ne serait trouvée pour règler les problèmes de l' Université , car les difficultés de l' Université rejailliront inévitablement sur tous les budgets annexes ."
45,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s263,"Il prend bonne note des remarques de Mme ULLMO , mais les premiers éléments du rapport des Inspecteurs des finances laisse penser que "" l' Université a largement les moyens , mais qu' elle ne les gère pas "" ."
45,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s264,"Cette remarque ne sera pas pour l' aider dans ses négociations avec le ministère "" ."
46,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s265,Mme MORTUREUX voudrait revenir sur la recherche de ressources extérieures ;
46,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s266,ces ressources seront liées à des services éventuellement nouveaux rendus par l' Université demandant des charges nouvelles d' enseignement et ce genre de relationsavec l' extérieur ne permettra pas de combler le déficit .
47,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s267,"M. RODRIGUEZ donne lecture d' une motion votée par le Conseil de la B.U. qui demande que l' intégralité de la somme , équivalent à 112 F/ M2 , lui revienne pour couvrir les dépenses d' investissements nécessaires au bon fonctionnement de la B.U. compte tenu du vieillissement des installations et de la nécessité d' installer un monte charge adapté aux handicapés"
47,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s268,Il pense que la mesure proposée par la commission budgétaire est de nature à réveiller l' opposition à l' intégration et à éloigner les possibilités de coopération concrète avec l' Université .
48,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s269,M .
48,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s270,"Le Président IMBERTY a le sentiment qu' en l' état actuel des choses et compte tenu du manque d' information sur un certain nombre de recettes éventuelles en provenance du ministère par la mise en application du contrat , il n' est pas possible d' adopter le budget en équilibre ."
48,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s271,"Dans sa proposition de budget , l' Université fait preuve de sa bonne volonté pour respecter le contrat , mais des recettes complémentaires sont indispensables ."
48,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s272,Il lui semble d' ailleurs que cela ressort des débats du Conseil .
49,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s273,M. GARNIER demande qu' un vote indépendant intervienne sur trois propositions précises :
49,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s274,"augmentation de la location des locaux de l' Université , pour les demandeurs extérieurs ( environ 15 % )"
49,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s275,augmentation des tarifs d' inscription au T.E.U.X ( 4. 10 % )
49,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s276,augmentation des droits de correspondance étudiants ( 33 F au lieu de 30 F )
50,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s278,1 .
50,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s279,"le Conseil refuse à l' unanimité , moins une abstention d' adopter le budget en équilibre en première lecture ."
51,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s298,"Melle BLUM voudrait savoir si les 112 FM2 seront laissés à la B.U. , ramener la subvention à 100 F pour la B.U ne sera pas suffisant pour combler le déficit du budget de l' Université , mais sera largement suffisant pour déséquilibrer celui de la B.U."
52,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s299,"M. BLANCHET rappelle que ce n' est pas lui qui a pris cette décision , mais une circulaire du Ministère dit qu' il appartient à l' Université de payer les dépenses d' infrastructure des bibliothèques sur son budget ."
52,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s300,"L' année dernière il a été accepté de verser , sous forme de subvention à la bibliothèque , la totalité de la subvention reçue par l' Université au titre des infrastructures ."
53,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s301,M .
53,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s302,"Le Président IMBERTY a déjà exprimé son sentiment en ce qui concerne la délégation donnée par le Ministère pour le fonctionnement de la B.U. , mais il est évident que si cette délégation se concrétise , le conseil de la B.U n' aura à gérer que le budget "" documentation "" ."
53,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s303,En ce qui concerne les infrastructures c' est le président qui signera les engagements et les dépenses .
54,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s304,"M. HUE voit difficilement l' application de ce texte à Nanterre , la configuration des locaux , l' implantation sur le campus de la B.U. , comme du Centre Sportif , font qu' il y aura toujours des problèmes de gestion pratique ."
55,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s305,M .
55,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s306,"Le Président IMBERTY attire l' attention sur le fait que dans le cas de sa délégation , la B. U. est plutôt avantagée et il s' en réjouit , mais il faut bien savoir que c' est uniquement parce qu' il accepte de ne pas appliquer le texte ministériel ."
55,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s307,Il rappelle que les propositions émises viennent l' une de la B.U. ( calcul 106 F / M2 ) l' autre de la commission budgétaire ( 100 FM2 ) et non de la part de M. BLANCHET .
55,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s308,"Le budget n' ayant pas été voté , la question reste en état ."
56,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s310,M. HUE présente le projet en précisant qu' il a subi une légère modification depuis la réunion de la commission budgétaire du 16 mars .
56,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s311,Le conseil de la B.U. a souhaité que l'on augmente le montant du taux au M2 et donc de passer de 106 F/m2 à 112 F/m2 pour installer un monte charge pour les handicapés .
56,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s312,Il faut absolument trouver une solution leur permettant d' accéder au 1 er étage .
56,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s313,Les frais d' installation sont estimés à 100.000 F.
56,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s314,"En ce qui concerne le budget proprement dit , dans la note de présentation il est calculé sur la base de 106 F/ M2 , la différence avec 112 F/ M2 provient du monte charge ."
57,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s315,M .
57,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s316,"Le Président IMBERTY pense que pour cette installation il serait peut être possible d' obtenir des crédits spéciaux auprès du Ministère de la solidarité , il préfere que ce point soit dissocié du budget ."
58,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s317,M. RODRIGUEZ ajoute que l' installation peut amener des modifications d' infrastructure et les frais seront supportés par le budget propre de la B.U.
59,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s318,M .
59,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s319,Le Président IMBERTY pense qu' il faut essayer de faire prendre en charge la totalité des travaux par l' extérieur .
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s320,"M. HUE reprend son exposé : dans le projet de budget , les recettes équilibrent les dépenses ."
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s321,"Elles proviennent d' une part de la D.B.M.I.S.T. , du Ministère de l' Education Nationale et d' autre part des droits des étudiants et du C.N.L. comptés aux taux de l' an dernier , soit des recettes d' un montant prévisionnel de 4 545 MF"
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s322,C' est sur cette somme que le budget dépenses 1984 a été établi .
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s323,Les postes 61 et 62 qui concernent les traitements et les salaires sont en diminution par rapport à 1983 .
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s324,Les charges d' infrastructures sur 1984 ne devraient pas connaître d' augmentations sauf celles dûes à l' inflation ou à d' éventuelles grosses pannes .
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s325,Toutes les dépenses sont de caractères obligatoires et si la B.U n' a pas les recettes correspondantes elle sera réellement en déficit à la fin de l' exercice 1984 .
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s326,"En ce qui concerne la documentation , l' investissement documentaire s' élève à 1,100 MF dont 600.000 F réservés aux périodiques ( dépense incompressible ) ."
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s327,"Le Conseil de la bibliothèque , qui s' est réuni le vendredi 2 mars , a souhaité que le taux soit de 112 F/ M2 et que la délégation de gestion soit accordée , comme l' an dernier , par M. Le Président de l' Université au directeur de la bibLiothèque ."
60,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s328,"Il la demande aussi , en son nom personnel ."
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s329,M .
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s330,Le Président IMBERTY demande que la délégation ne soit pas mêlée au débat budgétaire .
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s331,"Il attire , encore une fois , l' attention du conseil sur le fait que la délégation donne la maîtrise du budget à la Bibliothèque Universitaire , mais en l' absence de délégation le conseil de la bibliothèque n' a plus à délibérer sur la partie infrastructure du budget ."
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s332,"s' il retire la délégation , le Conseil de la B.U. n' aura pas à gager sur 100-106 ou 112 F/ M2 , ce sera fini ."
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s333,M. Le Président souhaite que cela soit bien entendu et qu' il en soit pris bonne note ..
61,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s334,"Ceci étant , il y a une proposition faite par la commission budgétaire et le refus de voter le budget de l' Université , son renvoi devant la commission budgétaire implique que même si elle ne retient pas le taux à 100 FM2 elle reverra cette partie du budget ."
62,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s335,"Le Président IMBERTY demande à M. DUBOST s' il ne serait pas possible de se prononcer sur la partie documentation , ce qui permettrait a M. HUE d' avoir un budget documentation , qui est d' ailleurs établi sur une subvention versée directement à la B.U. et dont elle a la totale maîtrise ."
63,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s336,M. HUE signale que le montant des droits étudiants et de l' équipement contribue aux frais de documentation .
64,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s337,"M. DARRIULAT fait remarquer que le montant des frais de fonctionnement ( chauffage , entretien ) est bien supérieur à la somme consacrée à la documentation , aux livres , aux revues , etc."
65,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s338,"M. LLAU ajoute , dans le même ordre d' idée , que sur les 19 MF de dépenses , les U.E.R. n' interviennent que pour 1 MF ."
66,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s339,M. DARRIULAT suggère de se servir de ces chiffres pour constituer un dossier qui accompagnerait la demande de moyens supplémentaires adressée au ministère .
67,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s340,"Le Président IMBERTY rappelle que certains efforts ont été déjà faits , notamment pour les économies de chauffage , avec des crédits spécifiques"
67,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s341,"Des subventions spéciales ont été obtenues pour des travaux d' isolation , le remplacement des éclairages dans les amphithéâtres ."
67,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s342,Ces crédits ont été obtenus au titre d' économie d' énergie .
67,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s343,"D' autres demandes ont été déposées , mais elles sont faites au niveau académique , qui établit un classement de ces demandes , le SCARIF procède ensuite aux travaux , selon les crédits disponibles ."
68,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s344,"M. LePrésdent IMBERTY demande si le conseil accepte que la partie "" documentation "" soit dissociée du vote sur le budget de la B.U. qui reviendra devant la commission budgétaire ."
69,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s345,Aucune opposition n' intervient .
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s347,"M. HUE , Administrateur provisoire de la B.D.I.C . , présente le projet de Budget ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s348,Il a été établi sur les mêmes bases que celui de la B.U.
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s349,Les recettes principales proviennent du Ministère de l' Education du CADIST et du C.N.L.
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s350,"La seconde masse budgétaire provient de la rétrocession , par l' Université , de la subvention pour l' infrastructure , calculée au taux de 106 F/ M2 , de la subvention versée par le conseil Régional des Hauts de Seine , qui s' élève a 80.200 F , de la Direction de la Recherche ( 270.134 F ) ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s351,"En ce qui concerne les dépenses : les comptes 61 et 62 ( salaires ) sont en diminution , les charges d' infrastructure sont stabilisées et ne devront connaître que l' augmentation due à l' inflation , l' investissement documentation par contre , est en diminution ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s352,"Le Conseil de la B.D.I.C. qui s' est réuni le 22 mars 1984 sous la présidence du Président R. REMOND , a émit 2 voeux :"
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s353,"1 ) il demande à l' Université de Paris X Nanterre de reconduire pour l' année 1984 , la délégation au Directeur , par intérim , de la B. D. I. C pour la gestion des crédits d' infrastructure ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s354,Vote à l' unanimité des 22 membres présents et représentés .
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s355,"considérant que les bâtiments de la B.D.I.C . et de ses services communs ont été classés pour une grande part en I.G.H. et bénéficie à ce titre de la dotation plafond du Ministre de l' Education Nationale ( taux 112 F/ M2 ) pour les charges d' infrastructures , considérant de plus qu' aucun agent de la B.D.I.C n' est rétribué sur a masse salariale qui vient en déduction de l' enveloppe globale d' infrastructure attribuée à l' Université , de Paris X Nanterre ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s356,"Considérant par ailleurs que les dépenses d' infrastructure de 1984 ne peuvent être couvertes que par des recettes correspondant à un taux de 106 F/ M2 , le Conseil de la B.D.I.C. demande à la commission budgétaire et au conseil de l' université d' évaluer la dotation ce taux minimum pour l' exercice 1984 ;"
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s357,"en proposant de reconduire la dotation de 1981 en franc courant le Conseil , conscient des difficultés financières actuelles de l' Université accepte ainsi de participer à la résorption de son déficit ."
70,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s358,"Vote acquis à l' unanimité des 22 membres présents et représentés . """
71,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s359,M .
71,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s360,"Le Président IMBERTY propose au Conseil de procéder de la même façon que pour la B.U. , c' est à dire de dissocier la partie documentation de la partie infrastructure , qui doit revenir devant la commission budgétaire ;"
71,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s361,les textes émanant des conseils de la B.U. et de la B.D.I.C lui seront transmis .
71,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s362,"Donc , si le conseil est d' accord , la partie "" documentation "" est adoptée et la B.D.I.C. , comme la B.U. , peut faire les engagements nécessaires"
72,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s364,"M. NOCQ précise que le projet porte le n° 5 , les quatre précédents ayant supporté les remarques du conseil des sports et de la commission budgétaire ."
72,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s365,"En effet , la subvention du Ministère n' a pas augmenté depuis 5 ans et si le S.U.A.P.S . devait payé la facture du Gaz , qui a augmenté de 38 % , il atteindrait un déficit de 33 MF ."
72,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s366,"Après conseil des différentes institutions citées , il présente un budget en équilibre à condition de payer une facture de chauffage augmentée de 12 % par rapport à l' an dernier , n' augmenter de 10 % les tarifs de location des installations sportives pour les groupements extérieurs , de 20 % les droits d' utilisation des installations ( 30 F au lieu de 25 F ) et de demander une contribution forfaitaire de 60.000 F à l' U.E.R. E.P.S pour l' entretien des installations S.U.A.P.S. Dans les Universités où cohabitent S.U.A.P.S et U.E.R cela existe déjà ."
72,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s367,"En ce qui concerne les dépenses , certains postes ont été plus augmentés que d' autres , d' une part pour rénover les terrains et les installations sportives et d' autre part , avoir une marge de sécurité pour l' entretien de la piscine ."
72,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s368,Les autres postes n' ont subi qu' une majoration de 10 % .
73,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s369,"M. DARRIULAT fait remarquer que si les étudiants sont conscients des efforts qui sont faits pour développer les activités sportives et pour le bien être des étudiants , il n' en est pas moins scandaleux que ce soit encore une fois les étudiants qui payent , alors que la part de l' Etat n' augmente pas ."
73,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s370,Les étudiants de l' UNEF - ID ne voteront pas une augmentation des droits au centre sportif .
74,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s371,M. GOTTSMANN signale que ce projet de budget n' est pas passé devant le conseil des sports .
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s372,M .
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s373,Le Président IMBERTY lui rappelle que le Conseil a vu les précédents et que M. NOCQ a modifier le budget du S.U.A.P.S d' après les remarques de la commission budgétaire .
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s374,Si le dernier projet n' a pas été soumis au Conseil c' est uniquement pour gagner du temps et les modifications demandées n' étaient pas importantes .
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s375,"Le gros problème est celui du chauffage et la Commission budgétaire a conseillé au centre sportif de refuser de payer la somme demandée , une telle augmentation ne se justifie pas ."
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s376,L' installations des compteurs est défectueuse et le CROUS n' a pas cherché savoir d' où venait le coût exorbitant de la facturation faite au centre sportif .
75,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s377,"Il faut demander un éclaircissement au CROUS , il n' y a aucune raison que le SUAPS accepte de payer une telle augmentation sans aucune justification ."
76,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s378,M. GOTTSMANN pense que la contribution de 60.000 F demandée à l' U.E.R de sport doit étre soumise au conseil de l' U.E.R.
76,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s379,Il demande au le conseil de l' Université de renvoyer cette question à une lecture ultérieure afin que le Conseil d' U.E.R se prononce sur cette demande .
77,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s380,M. NOCQ reconnait que cette demande peut sembler provocatrice mais ele n' est pas dirigée contre l' E.P.S. ; devant le refus du ministère il faut trouver de l' argent et il est normal d' associer les forces
77,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s381,"Pour lui , cette démarche n' a qu' un seul but c' est que l' U.E.R se retourne vers son Ministère pour obtenir des crédits supplémentaires ."
77,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s382,S' il n' y avait pas possibilité de négociation le ministère convoquerait les deux directeurs pour voir ce qui est négociable .
77,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s383,Il n' est pas question de vouloir mettre en péril l' U.E.R. d' E.P.S mais seulement d' obtenir des moyens supplémentaires auprès d' un autre ministère .
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s384,M .
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s385,Le Président IMBERTY pense que la commission budgétaire doit revoir le budget mais il faut que la seconde lecture ait lieu rapidement .
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s386,"Il fixe la réunion de la commission budgétaire au 24 avril , sous réserve d' avoir des éléments nouveaux de la part du Rectorat ."
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s387,"Sans éléments nouveaux suffisants pour arriver à un équilibre budgétaire , il faudra prendre le budget en l' état et il appartiendra à l' autorité rectorale de le règler ."
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s388,"La procédure est longue et l' Université risque d' avoir un budget enfin arrêté , vers le 30 novembre ce qui ne permet pas une gestion sérieuse ."
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s389,Il est donc inutile de retarder la seconde lecture ;
78,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s390,"il attire l' attention de M. GOTTSMANN et de M. HUE pour que les secondes lectures , avec consultation des conseils , soient faites dès la semaine de la rentrée ."
79,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s391,M. NOCQ souhaite que le conseil de l' Université se prononce avant la seconde lecture sur la demande d' augmentation de 10 % des tarifs de location des installations .
80,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s392,M .
80,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s393,Le Président IMBERTY pense que cette question ne pose aucun problème .
80,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s394,Le budget du S.U.A.P.S. est renvoyé devant la commission budgétaire et il soumet au vote l' augmentation de 10 % des locations des installations aux groupes extérieurs .
81,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s395,Proposition votée à l' unanimité des présents et représentés .
82,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s396,"M. NOCQ présente un texte émanant des professeurs du S.U.A.P.S qui souhaitent que l' U.V de pratique sportive , créée d Paris X Nanterre soit maintenue ."
83,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s397,M .
83,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s398,"Le Président IMBERTY conclut en rappelant qu' après cette première lecture , le budget sera envoyé au Recteur qui fera part de ses observations ."
83,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s399,"Le budget , en seconde lecture , sera présenté au Conseil d' Université du 4 mai 1984 ."
84,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s400,"M. ARRIVE voudrait avoir des éclaircissements sur la participation de l' U.E.R . de Sciences Sociales dans le projet S.H.C. , qui sembe pour l' instant être le seul DEUG retenu par le Ministère ."
84,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s401,"En effet , la formation S.H.C. donne une part égale à quatre disciplines ( Sociologie , Philosophie Psychologie et Linguistique ) et le texte dont il a eu connaissance laisse entendre que la participation de l' U.E.R de Sciences Sociales à ce DEUG n' était ras assurée de façon ferme ."
85,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s402,"M. HERRENSCHMIDT rappele que le DEUG de Sciences Sociales ne peut s' obtenir que dans la formation S.S.A , quelque soit l' importance donnée aux Sciences Sociales dans la formation S.H.C. Le Conseil de l' U.E.R. s' est réuni et a adopté le texte mentionné , si le DEUG S.S.A. n' est pas mis en place , le conseil demande le renouveLlement du DEUG actuel , mais ne refuse pas sa participation dans la formation S.H.C."
85,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s403,Un système de passerelle avec rattrapage devrait permettre aux étudiants de S.H.C. de s' inscrire en licence de Sociologie .
86,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s404,M .
86,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s405,"Le Président IMBERTY ajoute qu' il a eu une conversation avec M GRESLE à ce sujet , et il est bien cair que la participation de l' U.E.R de sociologie sera assurée ."
86,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s406,Ce n' est qu' à cette condition qu' il engagera les démarches pour obtenir l' habilitation pour l' autre projet .
87,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s407,"En fin de séance , le Conseil de l' Université prend connaissance du texte émis par le conseil de l' U.E.R de Sociologie ."
88,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s408,M .
88,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s409,Le Président IMBERTY donne lecture du texte devant l' aider dans ses négociations avec le Ministère .
89,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s410,"Quelques remarques sont faites sur la formuation du texte , par M. ARRIVE , Mme ULLMO , Mme PAUTI , M. RODRIGUEZ et M. DARRIULAT ."
90,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s411,M .
90,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s412,Le Président IMBERTY propose donc de faire une nouvelle rédaction en tenant compte des observation faites et demande au conseil un accord de principe .
90,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s413,( texte annexe 1 )
91,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s414,"Mme ULLMO voudrait exprimer , en codicile du texte , le point de vue de tous ceux qui sont concernés par le projet de décret sur les statuts et les carrières des enseignants ."
91,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s415,"Il faudrait pouvoir dire qu' il y a quelque chose de choquant et de contradictoire dans le fait de demander à la communauté universitaire de s' unir pour produire une réforme et s' y investir totalement et lui proposer ensuite , un texte dans lequel l' avenir des carrières et les statuts contient les ferments de conflits catégoriels croissants , d' une dissociation du tissus universitaire et d' un plan de carrière aussi défavorable ."
91,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s416,Elle ne voit pas pourquoi les enseignants continueraient à réflèchir au mieux de l' Université ;
91,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s417,beaucoup d' entre eux sont découragés et n' ont plus envie d' investir quoi que ce soit dans la réforme de l' Université .
91,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s418,"La façon dont sont traités ceux qui ont le plus participé à la réflexion et au désir de renouvellement , donne à réfléchir et beaucoup songent à se retirer , si le décret doit sortir dans sa forme présente avec toutes les méfiances qu' il a envers les enseignants ."
92,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s419,M .
92,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s420,Le Président IMBERTY donne lecture d' un texte qu' il a reçu à ce sujet de l' Université de Bretagne occidentale et propose au Conseil de reprendre le texte à son compte ( texte annexe 2 )
93,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s421,M. DARRIULAT tient à faire remarquer que les étudiants voteront encore une fois une motion liée aux problémes des enseignants et de leurs revendications et il voudrait bien que la réciproque existe .
94,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s422,La proposition faite par M. Le Président IMBERTY est adoptée .
94,fradhds-upn_2283W_CR_CA_1984-03-26_TEI.s423,M. MAISONDIEU pose deux questions :
